name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Pandoraea faecigallinarum	656179	S	21	6	27	0.00008
Pandoraea pulmonicola	93221	S	18	3	21	0.00006
Pandoraea norimbergensis	93219	S	16	2	18	0.00005
Pandoraea sputorum	93222	S	16	13	29	0.00008
Pandoraea fibrosis	1891094	S	12	4	16	0.00005
Polynucleobacter necessarius	576610	S	92	24	116	0.00033
Caballeronia sp. TF1N1	2878153	S	26	2	28	0.00008
Caballeronia sp. Lep1P3	2878150	S	22	4	26	0.00007
Caballeronia sp. NK8	140098	S	15	8	23	0.00006
Caballeronia sp. M1242	2814653	S	15	26	41	0.00012
Caballeronia zhejiangensis	871203	S	26	3	29	0.00008
Caballeronia insecticola	758793	S	22	2	24	0.00007
Caballeronia grimmiae	1071679	S	18	2	20	0.00006
Ephemeroptericola cinctiostellae	2268024	S	73	1	74	0.00021
Mycetohabitans endofungorum	417203	S	25	0	25	0.00007
Mycetohabitans rhizoxinica	412963	S	19	0	19	0.00005
Robbsia sp. KACC 23696	3149231	S	27	0	27	0.00008
Robbsia andropogonis	28092	S	20	0	20	0.00006
Trinickia caryophylli	28094	S	25	0	25	0.00007
Trinickia violacea	2571746	S	23	1	24	0.00007
Lautropia mirabilis	47671	S	26	1	27	0.00008
Limnobacter sp. SAORIC-580	2732163	S	16	0	16	0.00005
Sphaerotilus sulfidivorans	639200	S	2495	482	2977	0.00838
Sphaerotilus microaerophilus	2914710	S	188	31	219	0.00062
Roseateles sp. DAIF2	2714952	S	95	20	115	0.00032
Mitsuaria sp. 7	1658665	S	72	10	82	0.00023
Paucibacter sp. KCTC 42545	1768242	S	53	6	59	0.00017
Roseateles sp. SL47	2995138	S	45	7	52	0.00015
uncultured Roseateles sp.	452440	S	111	14	125	0.00035
Paucibacter sediminis	3019553	S	94	20	114	0.00032
Paucibacter aquatile	2070761	S	60	8	68	0.00019
Roseateles amylovorans	2978473	S	46	7	53	0.00015
Roseateles depolymerans	76731	S	37	8	45	0.00013
Piscinibacter gummiphilus	946333	S	315	43	358	0.00101
Piscinibacter sp. XHJ-5	3037797	S	202	25	227	0.00064
Aquincola tertiaricarbonis	391953	S	300	50	350	0.00099
Caldimonas thermodepolymerans	215580	S	121	32	153	0.00043
Caldimonas brevitalea	413882	S	68	7	75	0.00021
Schlegelella aquatica	376175	S	67	12	79	0.00022
Rubrivivax gelatinosus	28068	S	243	43	286	0.00081
Methylibium sp. Pch-M	2082386	S	69	45	114	0.00032
Methylibium petroleiphilum	105560	S	78	34	112	0.00032
Leptothrix cholodnii	34029	S	158	29	187	0.00053
Ideonella dechloratans	36863	S	148	32	180	0.00051
Inhella inkyongensis	392593	S	41	3	44	0.00012
Massilia sp. WG5	1707785	S	39	11	50	0.00014
Massilia sp. R2A-15	3064278	S	39	9	48	0.00014
Massilia sp. PAMC28688	2861283	S	35	5	40	0.00011
Massilia sp. YMA4	1593482	S	34	22	56	0.00016
Massilia sp. METH4	3123041	S	30	0	30	0.00008
Massilia sp. H6	2970464	S	24	4	28	0.00008
Massilia sp. erpn	2738142	S	21	12	33	0.00009
Massilia sp. W12	3126507	S	21	0	21	0.00006
Massilia sp. NP310	2861282	S	16	9	25	0.00007
Massilia sp. NR 4-1	1678028	S	12	48	60	0.00017
Massilia violaceinigra	2045208	S	62	16	78	0.00022
Massilia varians	457921	S	40	10	50	0.00014
Massilia litorea	2769491	S	34	7	41	0.00012
Massilia forsythiae	2728020	S	25	5	30	0.00008
Massilia oculi	945844	S	24	14	38	0.00011
Massilia putida	1141883	S	22	7	29	0.00008
Massilia endophytica	2899220	S	21	4	25	0.00007
Massilia antarctica	2765360	S	19	7	26	0.00007
Pseudoduganella aquatica	2660641	S	39	9	48	0.00014
Pseudoduganella lutea	321985	S	32	7	39	0.00011
Pseudoduganella flava	871742	S	32	6	38	0.00011
Pseudoduganella plicata	321984	S	29	7	36	0.00010
Pseudoduganella umbonata	864828	S	26	7	33	0.00009
Pseudoduganella chitinolytica	34070	S	25	9	34	0.00010
Pseudoduganella armeniaca	2072590	S	21	12	33	0.00009
Pseudoduganella sp. SL102	2995154	S	15	14	29	0.00008
Pseudoduganella albidiflava	321983	S	14	13	27	0.00008
Duganella zoogloeoides	75659	S	26	6	32	0.00009
Duganella dendranthematis	2728021	S	25	5	30	0.00008
Rugamonas sp. DEMB1	3039386	S	53	15	68	0.00019
Telluria mixta	34071	S	24	7	31	0.00009
Telluria beijingensis	3068633	S	24	7	31	0.00009
Janthinobacterium sp. 17J80-10	2497863	S	32	3	35	0.00010
Janthinobacterium sp. J1-1	3065910	S	28	7	35	0.00010
Janthinobacterium sp. 1_2014MBL_MicDiv	1644131	S	18	8	26	0.00007
Janthinobacterium sp. Marseille	375286	S	17	2	19	0.00005
Janthinobacterium sp. PAMC25594	2861284	S	12	10	22	0.00006
Janthinobacterium sp. TB1-E2	2985511	S	11	0	11	0.00003
Janthinobacterium agaricidamnosum	55508	S	39	25	64	0.00018
Janthinobacterium lividum	29581	S	20	53	73	0.00021
Herbaspirillum sp. WKF16	3028312	S	31	28	59	0.00017
Herbaspirillum sp. DW155	3095609	S	17	0	17	0.00005
Herbaspirillum sp. meg3	2025949	S	15	1	16	0.00005
Herbaspirillum frisingense	92645	S	31	9	40	0.00011
Herbaspirillum rubrisubalbicans	80842	S	29	11	40	0.00011
Herbaspirillum robiniae	2014887	S	26	9	35	0.00010
Herbaspirillum hiltneri	341045	S	25	4	29	0.00008
Herbaspirillum huttiense	863372	S	25	8	33	0.00009
Herbaspirillum seropedicae	964	S	22	7	29	0.00008
Collimonas fungivorans	158899	S	34	7	41	0.00012
Collimonas arenae	279058	S	29	3	32	0.00009
Collimonas pratensis	279113	S	16	3	19	0.00005
Undibacterium sp. CCC3.4	3048609	S	19	1	20	0.00006
Undibacterium sp. KW1	2058624	S	14	6	20	0.00006
Undibacterium parvum	401471	S	10	0	10	0.00003
Noviherbaspirillum sp. UKPF54	2601898	S	31	4	35	0.00010
Oxalobacter formigenes	847	S	12	51	63	0.00018
Actimicrobium sp. CCC2.4	3048606	S	18	1	19	0.00005
Herminiimonas arsenitoxidans	1809410	S	14	1	15	0.00004
Glaciimonas sp. PAMC28666	2807626	S	13	0	13	0.00004
Rhizobacter sp. AJA081-3	2753607	S	1099	162	1261	0.00355
Aquabacterium olei	1296669	S	117	13	130	0.00037
Aquabacterium sp. J223	2898431	S	91	15	106	0.00030
Aquabacterium sp. OR-4	2978127	S	19	1	20	0.00006
Thiomonas sp. X19	1050370	S	42	20	62	0.00017
Thiomonas intermedia	926	S	29	3	32	0.00009
Thiomonas arsenitoxydans	426114	S	14	11	25	0.00007
Xylophilus rhododendri	2697032	S	41	5	46	0.00013
Xylophilus sp. GOD-11R	3089814	S	27	3	30	0.00008
Eleftheria terrae	1597781	S	51	5	56	0.00016
Tepidimonas taiwanensis	307486	S	42	9	51	0.00014
Achromobacter xylosoxidans	85698	S	109	64	173	0.00049
Achromobacter sp. AONIH1	1758194	S	30	16	46	0.00013
Achromobacter sp. MFA1 R4	1881016	S	12	11	23	0.00006
Achromobacter spanius	217203	S	53	57	110	0.00031
Achromobacter deleyi	1353891	S	53	27	80	0.00023
Achromobacter pestifer	1353889	S	37	18	55	0.00015
Achromobacter denitrificans	32002	S	28	8	36	0.00010
Achromobacter insolitus	217204	S	27	7	34	0.00010
