# Constructed from biom file
#OTU ID	0-kraken_report	1-kraken_report	2-kraken_report
2740807	23.0	0.0	0.0
351052	17.0	0.0	0.0
1053	12.0	0.0	12.0
47960	30.0	0.0	21.0
437505	14.0	0.0	0.0
1811807	13.0	0.0	0.0
2771012	13.0	0.0	0.0
1579979	12.0	0.0	0.0
1860122	17.0	0.0	0.0
256839	91.0	0.0	0.0
558541	77.0	0.0	0.0
332186	80.0	70.0	38.0
1738770	31.0	0.0	0.0
38313	34.0	0.0	21.0
24	47.0	0.0	0.0
2950245	21.0	0.0	0.0
62322	64.0	46.0	62.0
1028752	21.0	0.0	0.0
2814294	13.0	0.0	13.0
1965282	12.0	0.0	0.0
1173586	13.0	0.0	0.0
260364	12.0	0.0	0.0
2829809	13.0	0.0	0.0
28108	86.0	0.0	21.0
314275	46.0	0.0	0.0
680279	18.0	0.0	0.0
2686358	13.0	0.0	0.0
2259620	13.0	0.0	0.0
2822846	82.0	0.0	0.0
1390185	37.0	0.0	0.0
